ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIP,PHONE,Exam1,Exam2,Exam3,Exam4
66,ISABELLA,WILSON,1814 E SCHILLER ST,PHILADELPHIA,PA,19121,2152342102,76,100,78,78
67,KATHLEEN,WULF,210 E HIGHLAND AVE,PHILADELPHIA,PA,19121,4848742779,72,48,71,77
68,DORA,HAUGHEY,1419 N 21ST ST,PHILADELPHIA,PA,19121,4453775696,31,63,30,62
69,MARIBEL,HAVERY,4831 WALNUT ST,PHILADELPHIA,PA,19121,2155407489,95,62,89,100
70,LAVERNE,LINDEN,9601 MILNOR ST,PHILADELPHIA,PA,19121,2678529996,100,76,89,49
71,KATHRYN,ATCHISON,3444 KEIM ST,PHILADELPHIA,PA,19121,2672156025,84,33,61,75
72,ROSIE,TERRILL,2222 SUMMER ST,PHILADELPHIA,PA,19121,8352976715,74,48,80,50
73,SHANNON,BOOTH,4222 PARRISH ST,PHILADELPHIA,PA,19121,7244793886,89,100,91,70
74,JOYCE,BAKER,335 RITNER ST,PHILADELPHIA,PA,19121,2159838257,52,45,68,67
75,PAULINE,BAKER,3020 D ST,PHILADELPHIA,PA,19121,8356814684,57,56,81,87
76,SANDRA,DOYLE,661921 HAVERFORD AVE,PHILADELPHIA,PA,19121,8353575676,50,68,96,100
77,JOYCE,BAKER,335 RITNER ST,PHILADELPHIA,PA,19121,2159838257,79,77,69,50
78,MARTHA,HONAKER,1422 S 31ST ST,PHILADELPHIA,PA,19121,4126141131,55,61,62,66
79,DOROTHY,SHELTON,5258 DELANCEY ST,PHILADELPHIA,PA,19121,4456184071,57,88,42,53
80,CECILIA,GIBSON,4910 CONVENT LA,PHILADELPHIA,PA,19121,4124008987,56,80,59,72
81,APRIL,HARDIN,1347 S 54TH ST,PHILADELPHIA,PA,19121,8147568787,74,47,79,82
82,KYLIE,THOMAS,334 KINGSLEY ST,PHILADELPHIA,PA,19121,4454221899,81,67,67,67
83,ELIDA,RASCH,9324 MARSDEN ST,PHILADELPHIA,PA,19121,5709381557,75,54,42,76
84,JOANNE,RUDERMAN,4408 TEESDALE ST,PHILADELPHIA,PA,19121,8786405313,69,51,88,88
85,AMANDA,LEWIS,3316 N 13TH ST,PHILADELPHIA,PA,19121,8784584290,55,79,71,100
86,MARIA,GLORIA,3309 MASCHER ST,PHILADELPHIA,PA,19121,2153381194,62,60,95,84
87,BERNIE,WHELAN,5023 WALNUT ST,PHILADELPHIA,PA,19121,4455072845,61,81,42,62
88,TASHA,BRASHER,1733 MOORE ST,PHILADELPHIA,PA,19121,6103487897,68,49,62,68
89,MICHELLE,GOODMAN,614 S 55TH ST,PHILADELPHIA,PA,19121,5705143369,59,81,92,57
90,KYLIE,THOMAS,334 KINGSLEY ST,PHILADELPHIA,PA,19121,4454221899,100,69,83,95
91,EMMA,HENDERSON,1304 DIVINITY ST,PHILADELPHIA,PA,19121,7243134210,84,92,31,95
92,SHIRLEY,WELLER,6138 GILLESPIE ST,PHILADELPHIA,PA,19121,7176928179,86,68,60,47
93,PAMELA,MITCHELL,112 N 02ND ST,PHILADELPHIA,PA,19121,8357168200,56,36,57,53
94,CHERYL,WHITE,2064 E CAMBRIA ST,PHILADELPHIA,PA,19121,7174655723,66,77,90,70
95,ANGIE,DAVIS,116 QUARRY ST,PHILADELPHIA,PA,19121,2159556145,47,93,96,95
96,KIMBERLY,MYERS,8117 WILLIAMS AVE,PHILADELPHIA,PA,19121,8142521109,80,43,62,50
97,MISTIE,BAKER,5109 WALKER ST,PHILADELPHIA,PA,19121,7172151343,74,72,48,46
98,LORY,ASTON,2232 S FAIRHILL ST,PHILADELPHIA,PA,19121,8149163930,41,100,100,47
99,JENNIFER,HEBERT,1412 KERBAUGH ST,PHILADELPHIA,PA,19121,4124733804,90,51,79,70
100,JENNIFER,COWGER,530 S SALFORD ST,PHILADELPHIA,PA,19121,8142801861,95,58,75,34
101,NORMA,TANNENBAUM,1836 S 56TH ST,PHILADELPHIA,PA,19121,7175555686,69,48,44,63
102,JANNA,WATSON,49799 CONARROE ST,PHILADELPHIA,PA,19121,2677682890,78,67,80,58
103,KIMBERLY,THOMPSON,1050 EDISON AVE,PHILADELPHIA,PA,19121,4847764212,67,69,32,77
104,SHIRLEY,WELLER,6138 GILLESPIE ST,PHILADELPHIA,PA,19121,7176928179,77,100,85,52
105,JANICE,FISH,1901 RUAN ST,PHILADELPHIA,PA,19121,8146550045,39,69,47,90
106,MARY,CLARK,3874 KIPLING PL,PHILADELPHIA,PA,19121,7243913987,84,76,100,37
107,PATRICIA,HEALEY,3953 N 09TH ST,PHILADELPHIA,PA,19121,8143218020,93,93,88,59
108,JEANINE,MARK,4445 ALMOND ST,PHILADELPHIA,PA,19121,7243509760,93,77,71,85
109,KIM,SIEGFRIED,2725 E LEHIGH AVE,PHILADELPHIA,PA,19121,8355227545,66,84,51,100
110,DARCY,MELLO,6950 CLIFF RD,PHILADELPHIA,PA,19121,2673427346,71,72,91,84
111,NORMA,TANNENBAUM,1836 S 56TH ST,PHILADELPHIA,PA,19121,7175555686,53,82,68,43
112,SARAH,HUBBARD,220 LOCUST ST,PHILADELPHIA,PA,19121,4125304783,81,72,62,46
